githubId,githubUsername,commits
66355,Hamled,1
66664,viric,9
66669,sofuture,4
67033,dmayle,3
67568,Dridus,1
68032,jdahm,2
68112,cimm,26
68368,qbit,74
68696,Tenzer,1
68706,mkohler,1
68708,Necoro,1
69135,andreabedini,5
69209,iand675,3
69534,Djabx,11
69752,sirkonst,2
70110,qrilka,1
71406,guiguid,12
71795,paperdigits,44
71910,treed,5
72123,michaelfranzl,2
74261,nrhtr,7
74379,flyfloh,6
74465,proglottis,3
74644,geofft,2
74719,diegs,7
75067,dduan,3
75213,ivankovnatsky,56
75371,stigtsp,891
75972,benwbooth,3
76716,grahamc,495
77611,rkitover,5
77836,FabianPonce,2
79330,shayne,3
79334,luispedro,7
79707,lstrojny,2
79918,fbettag,1
79955,kyoDralliam,10
80012,sjagoe,1
80325,bennyandresen,2
80920,levigross,6
81277,blinry,4
81353,zopieux,7
81654,gdamjan,36
82591,carlsverre,1
82811,aldoborrero,17
83360,alekseysidorov,3
83842,pSub,6
84886,pb-,2
84968,fps,1
85806,alexjp,2
85857,mmilata,14
86652,bramd,3
87115,kalbasit,51
87781,ryanswrt,6
88469,pho,3
89186,bobrik,28
89596,chaoflow,4
89916,PeteE,2
89950,stephank,190
90097,derekcollison,3
90200,booxter,143
90456,ToxicFrog,14
90482,viktornordling,2
91093,mfenniak,8
91113,davidak,34
91235,saserr,3
91643,purefn,1
91972,hunner,1
91987,garrison,12
92021,nilscc,2
92526,ilya-epifanov,7
92937,mindstorms6,8
93899,yogsototh,1
94035,polachok,4
94313,iynaix,100
94641,thkoch2001,4
95142,Korbik,2
95194,mausch,35
95471,smaret,40
96200,Mic92,2203
97238,Pauan,3
97746,das-g,44
97820,bouk,44
98373,mattam82,1
98431,kradalby,9
98590,spk,13
99639,ktor,2
99715,silasdavis,1
99987,ekimber,2
100848,Moredread,26
100929,afwlehmann,1
100993,knoopx,2
100994,AlexLov,1
100999,etehtsea,1
101422,ciferkey,9
101484,Alexis211,5
101514,orivej,65
101593,jceb,19
101639,Twey,8
101680,parthy,13
101739,johnhamelink,2
101753,phaer,166
101816,asymmetric,106
102513,AngryAnt,22
102685,tasmo,1
102781,supermario,2
102849,bobot,1
103437,codyps,10
103822,pmahoney,2
103838,GrahamDennis,5
104154,nikolaik,2
104339,tomassedovic,1
104558,Ralith,11
104795,mmahut,2
104951,akho,4
105114,wkral,17
105168,dbrgn,2
105204,gotcha,1
105506,djgoku,1
105565,amiryal,2
106587,dylex,2
106662,serpent213,1
106671,hcvst,1
107097,belak,1
107261,onsails,57
107301,kvark,18
107689,jshholland,13
107703,samuelrivas,4
107720,motiejus,28
108175,chadcatlett,1
108633,clhodapp,4
109126,Kha,11
109141,madjar,4
109908,cburstedde,24
110620,jevy,2
110625,zakame,50
110860,martinjlowm,6
110988,vadi2,1
111003,pi8027,1
111304,mstarzyk,11
112069,luizribeiro,13
112490,samdoshi,3
112729,brianmay,3
114159,fpletz,259
114638,AmandaCameron,9
114845,michaelshmitty,9
115029,piotr152,3
115060,mandos,3
115141,polarmutex,7
115218,makefu,32
115308,sorki,20
115494,nicklewis,2
115711,bpaulin,3
115761,quentinmit,14
115766,aschleck,6
115821,samrose,1
116184,fabaff,25026
117764,arachnist,10
118035,MostAwesomeDude,16
118061,ormandj,1
118829,codec,2
119358,timsutton,1
119483,ederoyd46,3
119752,nerzhul,1
119951,kevinmehall,9
121047,romanofski,1
121178,raphaelr,93
121742,chaos95,2
122977,apeschar,7
123140,obreitwi,7
123550,andresilva,129
124075,dsyer,4
124129,aschmolck,3
124298,voidus,6
124475,liff,120
124545,acowley,11
124643,dotNox,5
125174,mcdonc,34
125458,sbellem,2
126339,domenkozar,234
127353,ghuntley,8
127523,baracoder,9
127548,nyarly,4
127973,lontivero,3
128536,sjamaan,1
128620,kototama,5
129148,tadfisher,12
129525,silky,1
130103,JohannesRudolph,1
130256,paveq,1
